Altitude,Theta,Hour,Month,Day,GSD,North,South,West,East,Background Temperature
461.2188742996341,21.299046904491654,02:00,01,2,76.02508917026935,40.829036,40.828186,14.144160436041204,14.145534436041205,286.143798828125
462.7676187497482,12.416525172908235,02:00,01,5,76.28037671699146,40.829036,40.828186,14.144157405287261,14.145531405287262,287.20654296875
463.4227335763144,14.037019703552703,02:00,01,5,76.38836267741446,40.829036,40.828186,14.144156123286319,14.145530123286319,287.20654296875
466.5823394957442,22.475594894986127,15:00,01,5,76.90917683995784,40.829036,40.828186,14.144149940220998,14.145523940220999,288.9638671875
466.0126048921302,13.759815049011138,15:00,01,5,76.81526454265882,40.829036,40.828186,14.144151055140505,14.145525055140505,288.9638671875
464.7010661411277,10.172073952388686,15:00,01,8,76.59907683644961,40.829036,40.828186,14.144153621704175,14.145527621704176,284.764404296875
466.3207334423214,17.211678907340332,02:00,01,13,76.86605496302002,40.829036,40.828186,14.144150452160575,14.145524452160576,280.909423828125
466.8462384804234,10.164086489720733,02:00,01,16,76.95267667259726,40.829036,40.828186,14.144149423794362,14.145523423794362,286.335693359375
467.3420036567068,18.94139439246137,02:00,01,16,77.03439620714948,40.829036,40.828186,14.14414845362639,14.14552245362639,286.335693359375
460.8117799963811,15.738485269001313,15:00,01,16,75.9579857136892,40.829036,40.828186,14.144161232688234,14.145535232688234,287.84033203125
460.1293145324516,14.505746641134762,15:00,01,16,75.84549140644806,40.829036,40.828186,14.14416256821192,14.14553656821192,287.84033203125
458.6603280437903,16.61014050956257,15:00,01,19,75.60335077644895,40.829036,40.828186,14.144165442886688,14.145539442886689,288.921875
467.1965843072912,12.609908293016936,02:00,01,24,77.01042598471834,40.829036,40.828186,14.144148738199009,14.14552273819901,282.9423828125
467.5379292192119,19.63359306169852,02:00,01,24,77.06669162954043,40.829036,40.828186,14.144148070217641,14.145522070217641,282.9423828125
455.560062454887,23.328672954009203,15:00,01,24,75.09231798706928,40.829036,40.828186,14.144171509828306,14.145545509828306,286.735595703125
466.9505728684726,14.690665489440281,02:00,01,27,76.96987464864934,40.829036,40.828186,14.144149219621324,14.145523219621325,283.783935546875
454.2771071725774,17.1410237847543,15:00,01,27,74.88084184163364,40.829036,40.828186,14.144174020456692,14.145548020456692,287.74853515625
453.6211388320626,9.51987346349986,15:00,01,27,74.77271519209823,40.829036,40.828186,14.144175304127884,14.145549304127885,287.74853515625
464.0633019641155,13.215239988105635,02:00,02,4,76.49395087320585,40.829036,40.828186,14.144154869751453,14.145528869751454,284.544921875
464.2165577982423,12.94932777335155,02:00,02,4,76.5192128238861,40.829036,40.828186,14.144154569843534,14.145528569843535,284.544921875
450.4002131068319,15.719476360053397,15:00,02,4,74.241793369258,40.829036,40.828186,14.144181607190564,14.145555607190564,287.2880859375
449.8529220357686,23.71282695101395,15:00,02,4,74.15158055534647,40.829036,40.828186,14.14418267819009,14.14555667819009,287.2880859375
449.4221885865327,13.934583834669752,15:00,02,7,74.08058053624164,40.829036,40.828186,14.144183521096807,14.145557521096807,287.5927734375
448.9291918320541,20.56130076570949,15:00,02,7,73.99931733495397,40.829036,40.828186,14.144184485847227,14.145558485847227,287.5927734375
459.8245363034021,15.061623681364647,02:00,02,12,75.79525323682452,40.829036,40.828186,14.14416316463557,14.14553716463557,284.374755859375
459.9054732341037,22.009705945828834,02:00,02,12,75.80859448913797,40.829036,40.828186,14.144163006249258,14.145537006249258,284.374755859375
458.0566004806951,12.200347189025521,02:00,02,15,75.50383524407063,40.829036,40.828186,14.144166624327365,14.145540624327365,283.782958984375
448.574736088909,12.393502521685907,15:00,02,15,73.94089056410587,40.829036,40.828186,14.144185179485316,14.145559179485316,287.951171875
448.2300478383859,14.937470419545651,15:00,02,15,73.88407381951416,40.829036,40.828186,14.144185854009297,14.145559854009297,287.951171875
453.2223803425368,22.151526134999106,02:00,02,23,74.70698577074782,40.829036,40.828186,14.144176084462474,14.145550084462474,286.638671875
453.318367398203,4.198549387291316,02:00,02,23,74.72280781289061,40.829036,40.828186,14.144175896624418,14.145549896624418,286.638671875
449.8070961049552,12.563441839847846,15:00,02,23,74.1440268304871,40.829036,40.828186,14.144182767867326,14.145556767867326,287.9453125
450.854905774916,14.657415898333628,15:00,02,26,74.31674271015098,40.829036,40.828186,14.144180717397806,14.145554717397806,287.06396484375
